# Logfile created on 2025-09-09 15:29:36 +0200 by logger.rb/v1.5.3
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_pin has 298 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_mask has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_filler has 3909 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_nofill has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_slit has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_text has 298 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_noqrc has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_res has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_iprobe has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal1_diffprb has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : inldpwl_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : polyres_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : polyres_pin has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : vmim_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : nbulaycut_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : antmetal1_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topvia2_drw has 50134 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_drw has 355 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_pin has 313 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_mask has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_filler has 3947 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_nofill has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_slit has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_text has 315 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_noqrc has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_res has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_iprobe has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : topmetal2_diffprb has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : snsring_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : sensor_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : snsarms_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : snscmosvia_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : colwind_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : flm_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : hafniumox_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : memvia_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : thinfilmres_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : rfmem_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m2m3 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m2m4 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m2m5 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m2tm1 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m2tm2 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m3m4 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m3m5 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m3tm1 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m3tm2 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m4m5 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m4tm1 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m4tm2 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m5tm1 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m5tm2 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_tm1tm2 has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m1sub has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m2sub has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m3sub has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m4sub has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_m5sub has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_tm1sub has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : norcx_tm2sub has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : snsbotvia_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : snstopvia_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : deepvia_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : fgetch_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : ctrgat_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : fgimp_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : emwihv_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : lbe_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : alcustop_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : nometfiller_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : prboundary_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange0_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange0_pin has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange0_text has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange1_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange1_pin has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange1_text has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange2_drw has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange2_pin has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange2_text has 0 polygons
2025-09-09 15:29:39 +0200: Memory Usage (467860K) : exchange3_drw has 0 polygons
